year,STATE,DISTRICT,FEC_ID,FIRST_NAME,LAST_NAME,INCUMBENT_IND,PARTY
2022,AL,1,H0AL01055,Jerry,Carl,1,R
2022,AL,2,H8AL02171,Barry,Moore,1,R
2022,AL,2,H0AL02202,Phyllis,Harvey-Hall,0,D
2022,AL,3,H2AL03032,Mike,Rogers,1,R
2022,AL,3,H2AL03131,Lin,Veasey,0,D
2022,AL,4,H6AL04098,Robert,Aderholt,1,R
2022,AL,4,H8AL04086,Rick,Neighbors,0,D
2022,AL,5,H2AL05102,Dale,Strong,0,R
2022,AL,5,H2AL05177,Kathy,Warner-Stanton,0,D
2022,AL,6,H4AL06098,Gary,Palmer,1,R
2022,AL,7,H2AL07173,Beatrice,Nichols,0,R
2022,AL,7,H0AL07086,Terri,Sewell,1,D
2022,AK,1,H2AK01158,Mary,Peltola,1,D
2022,AK,1,H2AK00226,Sarah,Palin,0,R
2022,AZ,1,H4AZ06045,David,Schweikert,1,R
2022,AZ,1,H2AZ06221,Jevin,Hodge,0,D
2022,AZ,2,H2AZ01354,Eli,Crane,0,R
2022,AZ,2,H6AZ01199,Tom,O'Halleran,1,D
2022,AZ,3,H2AZ07187,Jeffrey,Zink,0,R
2022,AZ,3,H4AZ07043,Ruben,Gallego,1,D
2022,AZ,4,H2AZ09191,Kelly,Cooper,0,R
2022,AZ,4,H8AZ09040,Greg,Stanton,1,D
2022,AZ,5,H6AZ05083,Andy,Biggs,1,R
2022,AZ,5,H0AZ05185,Javier,Garcia Ramos,0,D
2022,AZ,6,H2AZ02360,Juan,Ciscomani,0,R
2022,AZ,6,H2AZ02311,Kirsten,Engel,0,D
2022,AZ,7,H2AZ03152,Luis,Pozzolo,0,R
2022,AZ,7,H2AZ07070,Raul,Grijalva,1,D
2022,AZ,8,H8AZ08158,Debbie,Lesko,1,R
2022,AZ,9,H0AZ01259,Paul,Gosar,1,R
2022,AR,1,H0AR01083,Rick,Crawford,1,R
2022,AR,1,H2AR01113,Monte,Hodges,0,D
2022,AR,2,H4AR02141,French,Hill,1,R
2022,AR,2,H2AR02095,Quintessa,Hathaway,0,D
2022,AR,3,H0AR03055,Steve,Womack,1,R
2022,AR,3,H2AR03283,Lauren,Mallett-Hays,0,D
2022,AR,4,H4AR04048,Bruce,Westerman,1,R
2022,AR,4,H2AR04158,John,White,0,D
2022,CA,1,H2CA02142,Doug,LaMalfa,1,R
2022,CA,1,H2CA01227,Max,Steiner,0,D
2022,CA,2,H2CA06259,Jared,Huffman,1,D
2022,CA,2,H2CA02209,Douglas,Brower,0,R
2022,CA,3,H2CA04122,Kermit,Jones,0,D
2022,CA,3,H2CA03157,Kevin,Kiley,0,R
2022,CA,4,H8CA01109,Mike,Thompson,1,D
2022,CA,4,H2CA04148,Matt,Brock,0,R
2022,CA,5,H8CA04152,Tom,McClintock,1,R
2022,CA,5,H2CA00096,Mike,Barkley,0,D
2022,CA,6,H0CA03078,Ami,Bera,1,D
2022,CA,6,H0CA03128,Tamika,Hamilton,0,R
2022,CA,7,H6CA05195,Doris,Matsui,1,D
2022,CA,7,H2CA07141,Max,Semenenko,0,R
2022,CA,8,H0CA10149,John,Garamendi,1,D
2022,CA,8,H2CA00153,Rudy,Recile,0,R
2022,CA,9,H8CA10126,Josh,Harder,1,D
2022,CA,9,H2CA09139,Tom,Patti,0,R
2022,CA,10,H0CA10073,Mark,DeSaulnier,1,D
2022,CA,11,H8CA05035,Nancy,Pelosi,1,D
2022,CA,11,H2CA12174,John,Dennis,0,R
2022,CA,12,H8CA09060,Barbara,Lee,1,D
2022,CA,12,H2CA12240,Stephen,Slauson,0,R
2022,CA,13,H2CA13115,Adam,Gray,0,D
2022,CA,13,H2CA13131,John,Duarte,0,R
2022,CA,14,H2CA15094,Eric,Swalwell,1,D
2022,CA,14,H0CA15247,Alison,Hayden,0,R
2022,CA,15,H2CA14170,David,Canepa,0,D
2022,CA,15,H2CA14162,Kevin,Mullin,0,D
2022,CA,16,H8CA12098,Anna,Eshoo,1,D
2022,CA,16,H0CA18068,Rishi,Kumar,0,D
2022,CA,17,H4CA12055,Ro,Khanna,1,D
2022,CA,17,H0CA17193,Ritesh,Tandon,0,R
2022,CA,18,H4CA16049,Zoe,Lofgren,1,D
2022,CA,18,H2CA18163,Peter,Hernandez,0,R
2022,CA,19,H6CA20152,Jimmy,Panetta,1,D
2022,CA,19,H0CA20122,Jeffrey,Gorman,0,R
2022,CA,20,H6CA22125,Kevin,McCarthy,1,R
2022,CA,20,H2CA23155,Marisa,Wood,0,D
2022,CA,21,H4CA20082,Jim,Costa,1,D
2022,CA,21,H2CA22215,Michael,Maher,0,R
2022,CA,22,H2CA20094,David,Valadao,1,R
2022,CA,22,H2CA21233,Rudy,Salas,0,D
2022,CA,23,H0CA08135,Jay,Obernolte,1,R
2022,CA,23,H2CA08214,Derek,Marshall,0,D
2022,CA,24,H6CA24303,Salud,Carbajal,1,D
2022,CA,24,H2CA24229,Brad,Allen,0,R
2022,CA,25,H2CA36439,Raul,Ruiz,1,D
2022,CA,25,H2CA01177,Brian,Hawkins,0,R
2022,CA,26,H2CA00120,Julia,Brownley,1,D
2022,CA,26,H2CA26133,Matt,Jacobs,0,R
2022,CA,27,H0CA22110,Mike,Garcia,1,R
2022,CA,27,H0CA25154,Christy,Smith,0,D
2022,CA,28,H0CA32101,Judy,Chu,1,D
2022,CA,28,H2CA28188,Wes,Hallman,0,R
2022,CA,29,H2CA28113,Tony,Cardenas,1,D
2022,CA,29,H8CA29100,Angelica,Maria Duenas,0,D
2022,CA,30,H0CA27085,Adam,Schiff,1,D
2022,CA,30,H0CA28174,Maebe,Girl,0,D
2022,CA,31,H8CA34068,Grace,Napolitano,1,D
2022,CA,31,H2CA28162,Daniel,Bocic Martinez,0,R
2022,CA,32,H6CA24113,Brad,Sherman,1,D
2022,CA,32,H2CA30283,Lucie,Lapointe Volotzky,0,R
2022,CA,33,H2CA31125,Peter,Aguilar,1,D
2022,CA,33,H2CA33253,John Mark,Porter,0,R
2022,CA,34,H0CA08226,Jimmy,Gomez,1,D
2022,CA,34,H2CA34079,David,Kim,0,D
2022,CA,35,H4CA35031,Norma,Torres,1,D
2022,CA,35,H0CA35146,Mike,Cargile,0,R
2022,CA,36,H4CA33119,Ted,Lieu,1,D
2022,CA,36,H0CA43108,Joe,Collins,0,R
2022,CA,37,H2CA37304,Sydney,Kamlager,0,D
2022,CA,37,H2CA37312,Jan,Perry,0,D
2022,CA,38,H2CA39078,Linda,Sanchez,1,D
2022,CA,38,H2CA39151,Eric,Ching,0,R
2022,CA,39,H2CA43245,Mark,Takano,1,D
2022,CA,39,H0CA25154,Aja,Smith,0,R
2022,CA,40,H2CA34079,Young,Kim,1,R
2022,CA,40,H2CA40092,Asif,Mahmood,0,D
2022,CA,41,H2CA37023,Ken,Calvert,1,R
2022,CA,41,H2CA42205,Will,Rollins,0,D
2022,CA,42,H0CA22110,Robert,Garcia,0,D
2022,CA,42,H8CA47078,John,Briscoe,0,R
2022,CA,43,H4CA23011,Maxine,Waters,1,D
2022,CA,43,H6CA44145,Omar,Navarro,0,R
2022,CA,44,H6CA44103,Nanette,Barragan,1,D
2022,CA,44,H0CA38140,Paul,Irving Jones,0,R
2022,CA,45,H0CA48198,Michelle,Steel,1,R
2022,CA,45,H2CA39136,Jay,Chen,0,D
2022,CA,46,H6CA46116,Lou,Correa,1,D
2022,CA,46,H0CA45160,Christopher,Gonzales,0,R
2022,CA,47,H8CA45130,Katie,Porter,1,D
2022,CA,47,H2CA47196,Scott,Baugh,0,R
2022,CA,48,H0CA48024,Darrell,Issa,1,R
2022,CA,48,H2CA50174,Stephen,Houlahan,0,D
2022,CA,49,H8CA49058,Mike,Levin,1,D
2022,CA,49,H8CA49108,Brian,Maryott,0,R
2022,CA,50,H2CA52089,Scott,Peters,1,D
2022,CA,50,H2CA50232,Corey,Gustafson,0,R
2022,CA,51,H2CA26133,Sara,Jacobs,1,D
2022,CA,51,H2CA51206,Stan,Caplan,0,R
2022,CA,52,H2CA50026,Juan,Vargas,1,D
2022,CA,52,H2CA52188,Tyler,Geffeney,0,R
2022,CO,1,H6CO01141,Diana,DeGette,1,D
2022,CO,1,H2CO01215,Jennifer,Qualteri,0,R
2022,CO,2,H8CO02160,Joe,Neguse,1,D
2022,CO,2,H2CO02205,Marshall,Dawson,0,R
2022,CO,3,H0CO03165,Lauren,Boebert,1,R
2022,CO,3,H2CO03351,Adam,Frisch,0,D
2022,CO,4,H4CO04090,Ken,Buck,1,R
2022,CO,4,H0CO04197,Isaac,McCorkle,0,D
2022,CO,5,H6CO05159,Doug,Lamborn,1,R
2022,CO,5,H2CO05141,David,Torres,0,D
2022,CO,6,H8CO06229,Jason,Crow,1,D
2022,CO,6,H2CO06214,Steve,Monahan,0,R
2022,CO,7,H8CO07045,Brittany,Pettersen,0,D
2022,CO,7,H2CO07170,Erik,Aadland,0,R
2022,CO,8,H2CO08020,Yadira,Caraveo,0,D
2022,CO,8,H2CO08079,Barbara,Kirkmeyer,0,R
2022,CT,1,H8CT01046,John,Larson,1,D
2022,CT,1,H2CT01213,Larry,Lazor,0,R
2022,CT,2,H2CT02112,Joe,Courtney,1,D
2022,CT,2,H2CT02161,Mike,France,0,R
2022,CT,3,H0CT03072,Rosa,DeLauro,1,D
2022,CT,3,H2CT03110,Lesley,DeNardis,0,R
2022,CT,4,H8CT04172,Jim,Himes,1,D
2022,CT,4,H2CT04134,Jayme,Stevenson,0,R
2022,CT,5,H8CT05245,Jahana,Hayes,1,D
2022,CT,5,H2CT05222,George,Logan,0,R
2022,DE,1,H6DE00206,Lisa,Blunt Rochester,1,D
2022,DE,1,H8DE01044,Lee,Murphy,0,R
2022,FL,1,H6FL01119,Matt,Gaetz,1,R
2022,FL,1,H2FL01233,Rebekah,Jones,0,D
2022,FL,2,H0FL02086,Alfred,Lawson,1,D
2022,FL,2,H6FL02208,Neal,Dunn,1,R
2022,FL,3,H0FL03175,Kat,Cammack,1,R
