year,STATE,DISTRICT,REP_IND,DEM_IND,LBT_IND,GRN_IND,IND_IND
2022,AL,1,1,0,1,0,0
2022,AL,2,1,1,1,0,0
2022,AL,3,1,1,1,0,1
2022,AL,4,1,1,1,0,0
2022,AL,5,1,1,1,0,0
2022,AL,6,1,0,1,0,0
2022,AL,7,1,1,1,0,0
2022,AK,1,1,1,0,0,0
2022,AZ,1,1,1,0,0,0
2022,AZ,2,1,1,0,0,0
2022,AZ,3,1,1,0,0,0
2022,AZ,4,1,1,0,0,0
2022,AZ,5,1,1,0,0,1
2022,AZ,6,1,1,0,0,0
2022,AZ,7,1,1,0,0,0
2022,AZ,8,1,0,0,0,0
2022,AZ,9,1,0,0,0,0
2022,AR,1,1,1,0,0,0
2022,AR,2,1,1,1,0,0
2022,AR,3,1,1,1,0,0
2022,AR,4,1,1,1,0,0
2022,CA,1,1,1,0,0,0
2022,CA,2,1,1,0,0,0
2022,CA,3,1,1,0,0,0
2022,CA,4,1,1,0,0,0
2022,CA,5,1,1,0,0,0
2022,CA,6,1,1,0,0,0
2022,CA,7,1,1,0,0,0
2022,CA,8,1,1,0,0,0
2022,CA,9,1,1,0,0,0
2022,CA,10,0,1,0,0,0
2022,CA,11,1,1,0,0,0
2022,CA,12,1,1,0,0,0
2022,CA,13,1,1,0,0,0
2022,CA,14,1,1,0,0,0
2022,CA,15,0,1,0,0,0
2022,CA,16,0,1,0,0,0
2022,CA,17,1,1,0,0,0
2022,CA,18,1,1,0,0,0
2022,CA,19,1,1,0,0,0
2022,CA,20,1,1,0,0,0
2022,CA,21,1,1,0,0,0
2022,CA,22,1,1,0,0,0
2022,CA,23,1,1,0,0,0
2022,CA,24,1,1,0,0,0
2022,CA,25,1,1,0,0,0
2022,CA,26,1,1,0,0,0
2022,CA,27,1,1,0,0,0
2022,CA,28,1,1,0,0,0
2022,CA,29,0,1,0,0,0
2022,CA,30,0,1,0,0,0
2022,CA,31,1,1,0,0,0
2022,CA,32,1,1,0,0,0
2022,CA,33,1,1,0,0,0
2022,CA,34,0,1,0,0,0
