"year","District","white_prct","black_prct","asian_prct","hispanic_prct","under35_prct","b35to50_prct","b50to65_prct","over65_prct","median_age","veterans_prct","lfpr","unemployment_rate","poverty_rate","assistance_rate","college_educated_prct","owner_occupied_prct","renter_occupied_prct","family_hh_prct","nonfamily_hh_prct","ppsm","highlydense_prct","dense_prct","spread_prct","highlyspread_prct","sparse_prct"
"2010","AK-01","0.683202380952379","0.035","0.0511785714285722","0.0553571428571438","0.348","0.27","0.28090476190476","0.0879404761904787","34.8","0.13870238095238","0.728595238095235","0.0902738095238078","0.068","0.064","0.263416666666668","0.66","0.34","0.678988095238093","0.321011904761907","2592","0.35","0.103","0.086","0.182","0.279"
"2010","AL-01","0.680607142857141","0.278","0.014","0.0278095238095241","0.291071428571427","0.263023809523808","0.265","0.177178571428573","1","0.117559523809523","0.59813095238095","0.147238095238091","0.169559523809522","0.0251904761904749","0.19961904761905","0.703","0.297","0.69915476190476","0.30084523809524","1269","0.196","0.215","0.12","0.289","0.179"
"2010","AL-02","0.654285714285713","0.312","0.01","0.033","0.303047619047618","0.26742857142857","0.254","0.173559523809526","1","0.135166666666666","0.603202380952379","0.122821428571424","0.155","0.017","0.186892857142859","0.678","0.322","0.674666666666664","0.325333333333336","997","0.156","0.166","0.082","0.244","0.352"
"2010","AL-03","0.651059523809523","0.315559523809524","0.01027380952381","0.029","0.328059523809523","0.254999999999999","0.251","0.163190476190479","1","0.115726190476189","0.589583333333333","0.145059523809518","0.190285714285711","0.017","0.192654761904766","0.679","0.321","0.66","0.34","962","0.107","0.197","0.145","0.257","0.306464285714283"
"2010","AL-04","0.917666666666664","0.052","0.004","0.0612500000000007","0.259","0.27365476190476","0.266","0.198690476190478","1","0.109809523809521","0.557","0.135107142857141","0.156892857142855","0.015","0.121488095238098","0.755","0.245","0.725749999999997","0.274250000000003","394","0.035","0.07","0.067","0.428","0.404440476190475"
"2010","AL-05","0.772047619047617","0.174107142857143","0.015","0.043714285714286","0.292678571428571","0.277249999999999","0.26","0.169226190476191","1","0.118976190476189","0.619","0.127273809523803","0.116","0.0111666666666672","0.258833333333335","0.728","0.272","0.679321428571427","0.320678571428573","1194","0.166","0.263","0.138","0.258","0.175"
"2010","AL-06","0.825607142857141","0.125642857142858","0.018","0.044","0.295083333333332","0.282571428571427","0.258","0.15882142857143","1","0.102690476190475","0.645142857142856","0.08672619047619","0.079","0.013","0.325809523809529","0.775","0.225","0.699","0.301","1252","0.159","0.252","0.137","0.321","0.132"
"2010","AL-07","0.352","0.622","0.00361904761904785","0.026","0.348","0.23","0.252","0.151404761904764","1","0.084","0.563","0.167869047619039","0.257571428571424","0.039619047619047","0.162952380952383","0.609","0.391","0.646928571428568","0.353071428571432","2085","0.358","0.231","0.074","0.121","0.219630952380952"
"2010","AR-01","0.814833333333332","0.172047619047618","0.005","0.0254166666666671","0.277952380952381","0.25495238095238","0.259","0.203202380952383","1","0.12240476190476","0.563","0.118821428571426","0.179309523809522","0.021","0.138809523809526","0.663","0.337","0.688428571428569","0.311571428571431","689","0.094","0.115","0.094","0.295","0.402"
"2010","AR-02","0.757178571428568","0.206976190476192","0.014","0.0499523809523812","0.32713095238095","0.25995238095238","0.248","0.160071428571433","1","0.116321428571426","0.641583333333331","0.0954285714285685","0.115","0.0269047619047611","0.246988095238097","0.677","0.323","0.653","0.347","1714","0.315","0.196","0.08","0.231","0.18265476190476"
"2010","AR-03","0.863","0.025","0.0214047619047624","0.115595238095239","0.324892857142857","0.265357142857142","0.239","0.166452380952383","1","0.106345238095236","0.619","0.085547619047615","0.154440476190473","0.026583333333333","0.204845238095242","0.67","0.33","0.695345238095237","0.304654761904763","1370","0.195","0.203","0.132","0.252","0.218"
"2010","AR-04","0.712214285714285","0.244","0.006","0.0447976190476194","0.27522619047619","0.250904761904761","0.265","0.203369047619049","1","0.116714285714284","0.574202380952379","0.128761904761902","0.17","0.028","0.144773809523811","0.694","0.306","0.678261904761902","0.321738095238098","628","0.072","0.145","0.0765952380952397","0.213","0.483"
"2010","AZ-01","0.713","0.017","0.009","0.19504761904762","0.286","0.229428571428571","0.281035714285713","0.20286904761905","1","0.128869047619045","0.528404761904758","0.157404761904758","0.178952380952378","0.0381428571428555","0.183452380952383","0.679","0.321","0.665","0.335","1","0.18","0.174","0.117","0.172","0.357"
"2010","AZ-02","0.845","0.039","0.0218928571428578","0.212","0.258214285714285","0.245726190476189","0.253523809523809","0.242845238095239","1","0.148964285714283","0.563","0.120999999999997","0.10588095238095","0.0236785714285712","0.210428571428573","0.695","0.305","0.688","0.312","3655","0.572","0.2","0.061","0.0987499999999981","0.076"
"2010","AZ-03","0.849","0.035","0.0349166666666672","0.181547619047621","0.297","0.296833333333331","0.259","0.13832142857143","1","0.0980357142857127","0.682","0.107428571428567","0.123595238095234","0.0236309523809519","0.32521428571429","0.637","0.363","0.63","0.37","1","0.789","0.125","0.036","0.037","0.013"
"2010","AZ-04","0.69","0.094","0.023","0.637","0.414","0.305321428571428","0.189273809523811","0.0886666666666676","1","0.0574404761904757","0.578928571428573","0.164714285714279","0.376726190476184","0.0398095238095233","0.133285714285718","0.473","0.527","0.648","0.352","1","0.896","0.077","0.016","0.01","0"
"2010","AZ-05","0.839857142857136","0.042","0.0426071428571437","0.173","0.347","0.257142857142856","0.243","0.15009523809524","1","0.0923809523809505","0.680119047619048","0.0935238095238073","0.0982380952380932","0.019","0.412595238095243","0.605","0.395","0.580845238095237","0.419154761904763","1","0.744","0.162","0.046","0.037","0.011"
"2010","AZ-06","0.839","0.034","0.0373571428571432","0.208","0.300845238095238","0.287059523809522","0.228","0.182892857142861","1","0.116726190476188","0.642","0.100583333333331","0.083","0.019","0.275714285714288","0.694","0.306","0.715","0.285","4727","0.771","0.149","0.04","0.03","0.01"
"2010","AZ-07","0.728","0.044","0.017","0.548333333333336","0.368","0.26415476190476","0.215","0.143380952380955","1","0.0976785714285704","0.598","0.164321428571419","0.188","0.0423452380952369","0.149130952380954","0.634","0.366","0.7","0.3","4012","0.572","0.165","0.086","0.07","0.110642857142857"
"2010","AZ-08","0.836","0.036","0.029","0.221333333333335","0.273392857142856","0.225892857142856","0.275726190476189","0.224059523809528","1","0.152226190476189","0.585499999999999","0.101749999999996","0.091","0.0272023809523803","0.325130952380954","0.672","0.328","0.629","0.371","2946","0.468","0.212","0.118","0.109","0.094"
"2010","CA-01","0.767","0.018","0.0583452380952387","0.233464285714287","0.327999999999999","0.235","0.274392857142856","0.162678571428575","1","0.0997499999999993","0.609","0.129916666666665","0.12213095238095","0.034","0.274309523809526","0.574","0.426","0.626","0.374","3722","0.493","0.135","0.08","0.133","0.158"
"2010","CA-02","0.817","0.014","0.04177380952381","0.183500000000002","0.300857142857143","0.231","0.276892857142855","0.190011904761908","39.1","0.123083333333331","0.571","0.17471428571428","0.129","0.046","0.191440476190479","0.613","0.387","0.659","0.341","2504","0.37","0.172","0.082","0.132","0.244"
