"year","STATE","DISTRICT","FEC_ID","FIRST_NAME","LAST_NAME","INCUMBENT_IND","PARTY","candidate_votes","total_votes","runoff"
2004,"AK","01","H4AK00065","Don E.","Young",1,"R",213216,299996,FALSE
2004,"AK","01","H4AK00081","Thomas M.","Higgins",0,"D",67074,299996,FALSE
2004,"AL","01","H2AL01077","Jo","Bonner",1,"R",161067,255164,FALSE
2004,"AL","01","H2AL01119","Judy","Belk",0,"D",93938,255164,FALSE
2004,"AL","02","H2AL02067","Terry","Everett",1,"R",177086,247947,FALSE
2004,"AL","02","H4AL02063","Charles D. (Chuck)","James",0,"D",70562,247947,FALSE
2004,"AL","03","H2AL03032","Mike","Rogers",1,"R",150411,245784,FALSE
2004,"AL","03","H4AL03046","Bill","Fuller",0,"D",95240,245784,FALSE
2004,"AL","04","H4AL04028","Carl","Cole",0,"D",64278,255724,FALSE
2004,"AL","04","H6AL04098","Robert","Aderholt",1,"R",191110,255724,FALSE
2004,"AL","05","H0AL05049","Bud","Cramer",1,"D",200999,275459,FALSE
2004,"AL","05","H4AL05066","Gerald (Gerry)","Wallace",0,"R",74145,275459,FALSE
2004,"AL","06","H2AL06035","Spencer","Bachus",1,"R",264819,268043,FALSE
2004,"AL","07","H0AL07060","Artur","Davis",1,"D",183408,244638,FALSE
2004,"AL","07","H4AL07062","Steve F.","Cameron",0,"R",61019,244638,FALSE
2004,"AR","01","H4AR01044","Vernon","Humphrey",0,"R",81556,243944,FALSE
2004,"AR","01","H6AR01072","Marion","Berry",1,"D",162388,243944,FALSE
2004,"AR","02","H4AR02117","Marvin","Parks",0,"R",115655,276493,FALSE
2004,"AR","02","H6AR02203","Vic","Synder",1,"D",160834,276493,FALSE
2004,"AR","03","H2AR03176","John","Boozman",1,"R",160629,270803,FALSE
2004,"AR","03","H4AR03024","Jan","Judy",0,"D",103158,270803,FALSE
2004,"AR","04","H0AR04038","Mike","Ross",1,"D",1,1,FALSE
2004,"AZ","01","H2AZ01172","Rick","Renzi",1,"R",148315,253351,FALSE
2004,"AZ","01","H4AZ01111","Paul","Babbitt",0,"D",91776,253351,FALSE
2004,"AZ","02","H2AZ02220","Randy","Camacho",0,"D",107406,279303,FALSE
2004,"AZ","02","H4AZ04024","Trent","Franks",1,"R",165260,279303,FALSE
2004,"AZ","03","H4AZ04016","John","Shadegg",1,"R",181012,225974,FALSE
2004,"AZ","04","H2AZ02055","Ed","Pastor",1,"D",77150,110027,FALSE
2004,"AZ","04","H2AZ04101","Don","Karg",0,"R",28238,110027,FALSE
2004,"AZ","05","H4AZ05047","Elizabeth","Rogers",0,"D",102363,268007,FALSE
2004,"AZ","05","H4AZ06052","J. D.","Hayworth",1,"R",159455,268007,FALSE
2004,"AZ","06","H0AZ01184","Jeff","Flake",1,"R",202882,255577,FALSE
2004,"AZ","07","H2AZ07070","Raúl","Grijalva",1,"D",108868,175437,FALSE
2004,"AZ","07","H4AZ02010","Joseph","Sweeney",0,"R",59066,175437,FALSE
2004,"AZ","08","H2AZ02014","Jim","Kolbe",1,"R",183363,303769,FALSE
2004,"AZ","08","H4AZ08058","Eva","Bacal",0,"D",109963,303769,FALSE
2004,"CA","01","H0CA01106","Lawrence R.","Wiesner",0,"R",79970,282971,FALSE
2004,"CA","01","H8CA01109","Mike","Thompson",1,"D",189366,282971,FALSE
2004,"CA","02","H2CA02068","Mike","Johnson",0,"D",90310,272429,FALSE
2004,"CA","02","H6CA02010","Wally","Herger",1,"R",182119,272429,FALSE
2004,"CA","03","H4CA03062","Gabe","Castillo",0,"D",100025,287073,FALSE
2004,"CA","03","H6CA34112","Dan","Lungren",0,"R",177738,287073,FALSE
2004,"CA","04","H0CA14042","John T.","Doolittle",1,"R",221926,339369,FALSE
2004,"CA","04","H4CA04078","David I.","Winters",0,"D",117443,339369,FALSE
2004,"CA","05","H4CA05224","Mike","Dugas",0,"R",45120,193387,FALSE
2004,"CA","05","H8CA03014","Robert T.","Matsui",1,"D",138004,193387,FALSE
2004,"CA","06","H2CA01045","Lynn","Woolsey",1,"D",226423,311667,FALSE
2004,"CA","06","H2CA06234","Paul L.","Erickson",0,"R",85244,311667,FALSE
2004,"CA","07","H2CA07091","Charles","Hargrave",0,"R",52446,219277,FALSE
2004,"CA","07","H6CA07043","George","Miller",1,"D",166831,219277,FALSE
2004,"CA","08","H4CA08079","Jennifer","DePalma",0,"R",31074,270064,FALSE
2004,"CA","08","H8CA05035","Nancy","Pelosi",1,"D",224017,270064,FALSE
2004,"CA","09","H4CA09051","Claudia","Bermudez",0,"R",31278,255039,FALSE
2004,"CA","09","H8CA09060","Barbara","Lee",1,"D",215630,255039,FALSE
2004,"CA","10","H4CA10067","Jeff","Ketelson",0,"R",95349,278099,FALSE
2004,"CA","10","H6CA10088","Ellen O.","Tauscher",1,"D",182750,278099,FALSE
2004,"CA","11","H2CA11051","Richard","Pombo",1,"R",163582,267169,FALSE
2004,"CA","11","H4CA11081","Gerald (Jerry) M.","McNerney",0,"D",103587,267169,FALSE
2004,"CA","12","H0CA11022","Tom","Lantos",1,"D",171852,252599,FALSE
2004,"CA","12","H4CA05075","Mike","Garza",0,"R",52593,252599,FALSE
2004,"CA","13","H4CA13079","George I.","Bruno",0,"R",48439,201921,FALSE
2004,"CA","13","H6CA09023","Fortney Pete","Stark",1,"D",144605,201921,FALSE
2004,"CA","14","H8CA12098","Anna G.","Eshoo",1,"D",182712,261888,FALSE
2004,"CA","14","H8CA14128","Chris","Haugen",0,"R",69564,261888,FALSE
2004,"CA","15","H0CA15148","Mike","Honda",1,"D",154385,214338,FALSE
2004,"CA","15","H4CA15058","Raymond L.","Chukwu",0,"R",59953,214338,FALSE
2004,"CA","16","H2CA16084","Douglas Adams","McNea",0,"R",47992,182281,FALSE
