Year,District,LEAN_1,LEAN_2,PERF_1,PERF_2
2022,AL-01,33.12,32.32,28.58,30.09
2022,AL-02,34.32,35.74,29.78,33.51
2022,AL-03,39.00,37.94,34.46,35.71
2022,AL-04,66.94,65.02,62.40,62.79
2022,AL-05,32.08,37.08,27.54,34.85
2022,AL-06,35.02,42.50,30.48,40.27
2022,AL-07,-28.00,-29.24,-32.54,-31.47
2022,AK-01,15.06,19.00,10.52,16.77
2022,AZ-01,3.00,6.66,-1.54,4.43
2022,AZ-02,12.92,13.56,8.38,11.33
2022,AZ-03,-46.88,-51.62,-51.42,-53.85
2022,AZ-04,-6.14,-0.72,-10.68,-2.95
2022,AZ-05,20.90,25.14,16.36,22.91
2022,AZ-06,4.22,7.62,-0.32,5.39
2022,AZ-07,-27.82,-32.66,-32.36,-34.89
2022,AZ-08,18.02,22.20,13.48,19.97
2022,AZ-09,30.72,33.34,26.18,31.11
2022,AR-01,46.70,38.92,42.16,36.69
2022,AR-02,18.02,18.22,13.48,15.99
2022,AR-03,28.68,33.24,24.14,31.01
2022,AR-04,40.78,34.08,36.24,31.85
2022,CA-01,24.02,25.68,19.48,23.45
2022,CA-02,-46.18,-47.02,-50.72,-49.25
2022,CA-03,6.44,10.70,1.90,8.47
2022,CA-04,-32.96,-34.72,-37.50,-36.95
2022,CA-05,17.32,18.58,12.78,16.35
2022,CA-06,-14.46,-15.88,-19.00,-18.11
2022,CA-07,-33.60,-38.88,-38.14,-41.11
2022,CA-08,-50.64,-56.76,-55.18,-58.99
2022,CA-09,-8.16,-11.48,-12.70,-13.71
2022,CA-10,-35.66,-36.36,-40.20,-38.59
2022,CA-11,-71.52,-79.06,-76.06,-81.29
2022,CA-12,-77.86,-83.94,-82.40,-86.17
2022,CA-13,-6.84,-11.82,-11.38,-14.05
2022,CA-14,-41.90,-47.86,-46.44,-50.09
2022,CA-15,-53.90,-60.20,-58.44,-62.43
2022,CA-16,-49.68,-56.10,-54.22,-58.33
2022,CA-17,-43.90,-54.88,-48.44,-57.11
2022,CA-18,-40.38,-49.56,-44.92,-51.79
