"year","pollster","count","POLLSTER_BIAS","adv_score"
2004,"ABC News/The Washington Post",24,-0.58,-1.18
2004,"American Research Group",28,-0.48,-1.52
2004,"Blum & Weprin Associates",16,3.68,-1.71
2004,"CBS News/The New York Times",22,1.27,-0.78
2004,"Ciruli Associates",14,1.97,-1.19
2004,"EPIC-MRA",12,-0.53,0.47
2004,"Ethridge & Associates LLC",6,0.71,-1.73
2004,"Gallup",24,1.29,-0.04
2004,"Georgetown University (Battleground)",11,1.92,-0.06
2004,"Harris Insights & Analytics",125,2.21,0.52
2004,"Ipsos",8,-3.32,-2.08
2004,"KRC Research",11,-0.73,-1.03
2004,"Los Angeles Times",10,1.39,-0.13
2004,"Market Shares Corp.",15,5.95,1.74
2004,"Mason-Dixon Polling & Strategy",145,0.86,-0.89
2004,"Mitchell Research & Communications",12,-1.43,-0.29
2004,"Opinion Research Associates",7,0.16,-2.37
2004,"Pew Research Center",12,-2.68,1.08
2004,"Princeton Survey Research Associates International",12,1.28,1.69
2004,"Public Opinion Strategies",13,3.19,-0.06
2004,"Quinnipiac University",25,3.79,-0.25
2004,"Rasmussen Reports/Pulse Opinion Research",100,3.26,0.37
2004,"RKM Research and Communications Inc.",15,1.08,0.17
2004,"SurveyUSA",159,-0.83,-0.44
2004,"Tarrance Group",9,3.39,-2.72
2004,"University of Cincinnati (Ohio Poll)",12,6.63,2.37
2004,"University of New Hampshire",10,-3.41,1.57
2004,"Ward Research/The Honolulu Star-Advertiser",5,2.95,-1.59
2004,"Zogby Interactive/JZ Analytics",151,1.25,0.12
2006,"ABC News/The Washington Post",29,-0.3,-0.94
2006,"American Research Group",44,-0.41,-1.11
2006,"Blum & Weprin Associates",11,0.83,-3.23
2006,"CBS News/The New York Times",21,-0.18,-0.81
2006,"Ciruli Associates",13,2.08,-0.34
2006,"Dan Jones & Associates",8,-0.49,-1.9
2006,"EPIC-MRA",13,-0.69,0.65
2006,"Fox News/Opinion Dynamics Corp.",20,0.69,0.07
2006,"Franklin Pierce University",12,-4.46,2.2
2006,"Gallup",43,1.05,0.23
2006,"Georgetown University (Battleground)",21,0.07,-0.35
2006,"GQR Research (GQRR)",23,-4.51,0.91
2006,"Harris Insights & Analytics",85,-0.08,-0.14
2006,"IBD/TIPP",10,2,-0.45
2006,"Ipsos",12,-4.14,-0.62
2006,"Los Angeles Times",13,-1.28,0.61
2006,"Louisville Courier-Journal",7,1.98,-1.8
2006,"Marist College",15,2.76,1.11
2006,"Market Research Insight",10,5.95,4.23
2006,"Market Research Institute Inc.",10,0.4,-1.3
2006,"Market Shares Corp.",13,3.37,1.2
2006,"Mason-Dixon Polling & Strategy",157,-0.43,-0.74
2006,"McLaughlin & Associates",7,2.62,-2.25
2006,"Mitchell Research & Communications",14,-0.96,0.03
2006,"Pew Research Center",11,-2.31,0.75
2006,"Princeton Survey Research Associates International",18,1.14,0.66
2006,"Public Opinion Strategies",16,3.69,0.4
2006,"Quinnipiac University",34,2.4,-0.42
2006,"Rasmussen Reports/Pulse Opinion Research",138,2.16,0.21
2006,"RKM Research and Communications Inc.",15,-0.6,0.7
2006,"Selzer & Co.",6,-1.7,-1.88
2006,"SurveyUSA",278,-0.54,-0.32
2006,"Tarrance Group",9,4.84,-1.9
2006,"University of Cincinnati (Ohio Poll)",10,0.89,-1.06
2006,"University of Connecticut",8,0.98,-2.05
2006,"University of New Hampshire",20,-0.69,0.93
2006,"Zogby Interactive/JZ Analytics",212,-0.68,0.31
2008,"ABC News/The Washington Post",19,-1.77,-1.24
2008,"American Research Group",33,-0.2,-1.41
2008,"Blum & Weprin Associates",5,-2.71,-2.83
2008,"Ciruli Associates",11,2,0.15
2008,"CNN/Opinion Research Corp.",10,0.66,0.9
2008,"Dan Jones & Associates",9,-0.04,-1.95
2008,"EPIC-MRA",12,-1.25,0.83
2008,"Fairleigh Dickinson University (PublicMind)",10,4.67,0.5
2008,"Field Research Corp. (Field Poll)",6,-0.66,-1.5
2008,"Fox News/Opinion Dynamics Corp.",16,-0.89,-0.13
2008,"Franklin Pierce University",10,-3.33,1.45
2008,"Gallup",40,0.19,-0.49
2008,"Garin-Hart-Yang Research Group",10,-6.73,-1.48
2008,"Georgetown University (Battleground)",10,-1.97,-0.8
2008,"Global Strategy Group",11,-6.52,-0.14
2008,"GQR Research (GQRR)",18,-5.34,1.16
2008,"Harris Insights & Analytics",10,-3.57,0.75
2008,"Ipsos",13,-4.7,-0.19
2008,"Los Angeles Times",13,-0.44,0.9
2008,"Marist College",15,-0.13,0.22
2008,"Market Research Insight",10,5.95,4.06
2008,"Market Research Institute Inc.",10,0.4,-1.33
2008,"Mason-Dixon Polling & Strategy",161,0.08,-0.97
2008,"McLaughlin & Associates",5,1.17,-2.78
2008,"OnPoint",6,-0.24,-2
2008,"Opinion Savvy/InsiderAdvantage",11,-3.33,0.02
2008,"Princeton Survey Research Associates International",11,-2.48,-0.65
2008,"Public Opinion Strategies",25,4.2,0.72
2008,"Quinnipiac University",30,1.49,0.11
2008,"Rasmussen Reports/Pulse Opinion Research",103,0.6,-0.96
2008,"Research & Polling Inc.",12,-1.34,-1.42
2008,"Richard Day Research",7,-1.08,-1.54
2008,"Riley Research Associates",5,-0.1,-1.61
2008,"RT Strategies",45,-2.11,0.46
2008,"SEA Polling & Strategic Design",5,-3.17,-1.59
2008,"Selzer & Co.",10,-0.88,-0.82
2008,"Star Tribune (Minnesota Poll)",10,-4.19,-0.38
2008,"SurveyUSA",316,-0.74,-0.61
2008,"Tarrance Group",7,3.46,-2.97
2008,"University of Cincinnati (Ohio Poll)",8,-0.7,-2.68
2008,"University of Connecticut",10,1.34,-1.87
2008,"University of New Hampshire",26,-0.27,1.06
2008,"YouGov",43,0.17,-0.24
2008,"Zogby Interactive/JZ Analytics",185,-0.48,1.53
2010,"ABC News/The Washington Post",22,-1.19,-1.18
2010,"American Research Group",36,-0.36,-0.18
2010,"Big Ten",10,-4.25,1.29
2010,"CBS News/The New York Times",17,-2.79,1.42
2010,"CNN/Opinion Research Corp.",32,0.32,-0.39
2010,"Dan Jones & Associates",12,-0.4,-1.77
2010,"EPIC-MRA",11,3.83,0.11
2010,"Fairleigh Dickinson University (PublicMind)",11,2.9,1.17
2010,"Field Research Corp. (Field Poll)",5,1.47,-1.79
2010,"Financial Dynamics",15,1.35,-0.21
2010,"Fox News/Opinion Dynamics Corp.",18,-0.45,0.01
2010,"Gallup",38,-0.09,-0.35
2010,"Garin-Hart-Yang Research Group",8,-4.19,-3.14
2010,"Georgetown University (Battleground)",16,0.16,-0.11
2010,"GfK Group",16,-0.28,-0.24
2010,"Global Strategy Group",12,-5.5,-0.23
2010,"GQR Research (GQRR)",30,-4.92,0.89
2010,"Grove Insight",6,-5.97,-1.51
2010,"Harris Insights & Analytics",12,-2.13,0.07
2010,"IBD/TIPP",15,1.69,-0.19
2010,"Los Angeles Times",13,0,0.78
2010,"Marist College",25,-0.46,-0.07
2010,"Market Research Insight",10,5.95,4.1
2010,"Mason-Dixon Polling & Strategy",165,0.89,-0.63
2010,"Monmouth University",10,-0.4,-0.27
2010,"National Journal",12,0.63,-0.99
2010,"Normington, Petts & Associates",7,0.15,-2.16
2010,"OnPoint",6,-0.24,-1.86
2010,"Opinion Savvy/InsiderAdvantage",26,-1.29,0.21
2010,"Princeton Survey Research Associates International",15,-2.13,-0.68
2010,"Public Opinion Strategies",26,2.97,0.53
2010,"Public Policy Polling",51,0.37,-0.66
2010,"Quinnipiac University",38,0.09,0.55
2010,"Rasmussen Reports/Pulse Opinion Research",201,0.86,-0.48
2010,"Research & Polling Inc.",13,1.47,-1.07
2010,"RT Strategies",45,-2.11,0.58
2010,"Selzer & Co.",14,-0.42,-0.68
2010,"Star Tribune (Minnesota Poll)",6,-2.62,-1.56
2010,"Suffolk University",15,-2.33,0.52
2010,"SurveyUSA",354,0.35,-0.73
2010,"The Winston Group",5,-4.78,-1.79
2010,"University of Cincinnati (Ohio Poll)",8,-0.15,-2.3
2010,"University of Connecticut",7,0.19,-2.05
2010,"University of New Hampshire",38,-1.59,0.28
2010,"YouGov",134,0.75,0.25
2010,"Zogby Interactive/JZ Analytics",197,0.64,1.53
2012,"ABC News/The Washington Post",15,-2.3,-1.21
2012,"ALG Research",11,-1.8,1.1
2012,"American Research Group",22,-0.54,-0.3
2012,"Big Ten",10,-4.25,1.24
2012,"CBS News/The New York Times",17,-2.75,1.04
2012,"ccAdvertising",31,5.6,1.91
