pollster,start_date,end_date,sample_size,population,cycle,office_type,election_date,DEM,GOP
YouGov,2020-10-31,2020-11-02,1500,RV,2020,House,2020-11-03,48,39
YouGov,2020-10-31,2020-11-02,1363,LV,2020,House,2020-11-03,52,42
Harris Insights & Analytics,2020-10-31,2020-11-02,2813,RV,2020,House,2020-11-03,45,41
Harris Insights & Analytics,2020-10-31,2020-11-02,2297,LV,2020,House,2020-11-03,48,43
USC Dornsife/Los Angeles Times,2020-10-20,2020-11-02,5413,LV,2020,House,2020-11-03,52.59,44.59
John Zogby Strategies/EMI Research Solutions,2020-11-01,2020-11-01,1008,LV,2020,House,2020-11-03,46.6,44.3
YouGov,2020-10-30,2020-11-01,1360,LV,2020,House,2020-11-03,52,43
YouGov,2020-10-30,2020-11-01,1501,RV,2020,House,2020-11-03,49,40
USC Dornsife/Los Angeles Times,2020-10-19,2020-11-01,5372,LV,2020,House,2020-11-03,52.34,44.77
Hart Research Associates/Public Opinion Strategies,2020-10-29,2020-10-31,1000,RV,2020,House,2020-11-03,48,43
Morning Consult,2020-10-29,2020-10-31,14663,LV,2020,House,2020-11-03,50,43
USC Dornsife/Los Angeles Times,2020-10-18,2020-10-31,5354,LV,2020,House,2020-11-03,52.45,44.51
Morning Consult,2020-10-28,2020-10-30,12000,LV,2020,House,2020-11-03,50,43
USC Dornsife/Los Angeles Times,2020-10-17,2020-10-30,5333,LV,2020,House,2020-11-03,52.28,44.57
Morning Consult,2020-10-27,2020-10-29,12000,LV,2020,House,2020-11-03,50,43
Opinium,2020-10-26,2020-10-29,1451,RV,2020,House,2020-11-03,50,42
USC Dornsife/Los Angeles Times,2020-10-16,2020-10-29,5322,LV,2020,House,2020-11-03,52.24,44.55
Morning Consult,2020-10-26,2020-10-28,16374,LV,2020,House,2020-11-03,49,43
Harris Insights & Analytics,2020-10-25,2020-10-28,2824,RV,2020,House,2020-11-03,45,40
Harris Insights & Analytics,2020-10-25,2020-10-28,2359,LV,2020,House,2020-11-03,47,42
USC Dornsife/Los Angeles Times,2020-10-15,2020-10-28,5271,LV,2020,House,2020-11-03,52.37,44.43
YouGov,2020-10-25,2020-10-27,1500,RV,2020,House,2020-11-03,49,39
YouGov,2020-10-25,2020-10-27,1365,LV,2020,House,2020-11-03,52,42
Morning Consult,2020-10-25,2020-10-27,12000,LV,2020,House,2020-11-03,50,43
Suffolk University,2020-10-23,2020-10-27,1000,LV,2020,House,2020-11-03,49.4,39.3
