State,District,DATE,POLL,SAMPLE.SIZE,DEMOCRAT,REPUBLICAN
AK,1,Oct. 9-10,PPP,"1,678 LV",36,58
AK,1,Sept. 23-27,Ivan Moore,573 LV,31.7,64.5
AK,1,Aug. 27-28,PPP,"1,308 LV",36,55
AK,1,Jan. 27-28,PPP,710 RV,34,49
AL,2,Oct. 9-12,"Greenberg Quinlan Rosner
                      
                        DEM",400 LV,51,39
AL,2,Oct. 3-4,"Public Opinion Strategies
                      
                        REP",300 LV,43,45
AL,2,Sept. 26-28,"Greenberg Quinlan Rosner
                      
                        DEM",400 LV,52,43
AL,2,Aug. 23-26,"Greenberg Quinlan Rosner
                      
                        DEM",400 LV,52,43
AL,2,Feb. 8-11,"Anzalone
                      
                        DEM",500 LV,54,30
AL,5,Aug. 22-23,"Public Opinion Strategies
                      
                        REP",400 LV,37,48
AL,5,June 6-7,"Public Opinion Strategies
                      
                        REP",400 LV,40,48
AR,1,Oct. 14,Hendrix College,436 LV,34,42
AR,1,Oct. 11-13,"Anzalone
                      
                        DEM",400 LV,44,42
AR,1,Oct. 5-7,Penn Schoen Berland,409 LV,34,46
AR,1,Sept. 13-16,"Anzalone
                      
                        DEM",400 LV,46,44
AR,1,Aug. 16-18,"Garin Hart Yang
                      
                        DEM",404 LV,51,40
AR,1,Aug. 17,Hendrix College,630 LV,32,48
AR,1,23-Jul,"Zata3
                      
                        DEM",600 LV,42,39.8
AR,1,May 24-25,"Public Opinion Strategies
                      
                        REP",300 LV,34,40
AR,2,Oct. 14,Hendrix College,446 LV,38,50
AR,2,Oct. 13-14,"OnMessage
                      
                        REP",400 LV,40,52
AR,2,Aug. 17,Hendrix College,716 LV,35,52
AR,2,June 13-14,"OnMessage
                      
                        REP",400 LV,34,50
AR,3,Oct. 14,Hendrix College,553 LV,21,21
AR,3,Aug. 25,Hendrix College,597 LV,31,55
AR,4,Oct. 14,Hendrix College,518 LV,52,34
AR,4,Sept. 27,"Diamond State Consulting Group
                      
                        REP","1,057 LV",44,41
AR,4,Aug. 25-26,Hendrix College,956 LV,49,31
AZ,1,Oct. 12-14,"Lake Snell Perry
                      
                        DEM",500 LV,41,38
AZ,1,Sept. 25-30,Penn Schoen Berland,403 LV,39,46
AZ,1,Aug. 30-31,"Moore Information
                      
                        REP",412 LV,43,43
AZ,1,Aug. 25-29,"Ayres
                      
                        REP",400 LV,41,47
AZ,1,Aug. 24-26,"Lake Snell Perry
                      
                        DEM",500 LV,43,39
AZ,3,Oct. 16-17,PPP,655 LV,46,44
AZ,5,Oct. 12-14,Penn Schoen Berland,408 LV,42,45
AZ,5,Oct. 5-7,"Benenson
                      
                        DEM",400 LV,46,39
AZ,5,Oct. 5-6,"National Research
                      
                        REP",400 LV,43,45
AZ,5,Sept. 26-27,"Bennett Petts Blumenthal
                      
                        DEM",400 LV,43,40
AZ,5,Sept. 13-16,"Harstad
                      
                        DEM",509 LV,45,44
AZ,5,Aug. 31-Sept. 2,"National Research
                      
                        REP",400 LV,38,46
AZ,5,Aug. 25-29,"Ayres
                      
                        REP",400 LV,44,50
AZ,7,Oct. 4-5,Summit Consulting Group,"1,807 LV",37,39
AZ,7,Sept. 29,"Magellan
                      
                        REP",686 LV,40,38
AZ,7,Sept. 25-26,"American Political Consultants
                      
                        REP",450 LV,42,35
AZ,8,Aug. 25-29,"Ayres
                      
                        REP",400 LV,46,46
CA,3,Sept. 18-19,PPP,617 LV,38,46
CA,8,March 22-24,Wenzel Strategies,535 LV,61,19
CA,11,Oct. 8-11,SurveyUSA,624 LV,42,48
CA,11,Sept. 21-25,"Lake Research Partners
                      
                        DEM",500 LV,45,35
CA,11,Aug. 23-28,"Ayres
                      
                        REP",400 LV,44,45
CA,18,Oct. 5-6,SurveyUSA,612 LV,50,44
CA,18,Sept. 27-29,"JMM Research
                      
                        DEM",400 LV,53,37
CA,19,Sept. 10-13,SurveyUSA,645 LV,30,63
CA,20,Oct. 21-24,SurveyUSA,601 LV,42,52
CA,20,Oct. 21-24,"Bennett Petts Blumenthal
                      
                        DEM",400 LV,47,41
CA,20,Sept. 10-12,SurveyUSA,561 LV,48,46
CA,44,Oct. 12,"Zata3
                      
                        DEM",611 LV,43,48
CA,44,Sept. 24-26,PPP,760 LV,38,49
CA,44,Jan. 28-Feb. 1,"Tulchin Research
                      
                        DEM",400 LV,35,49
CA,47,Oct. 13-14,"Public Opinion Strategies
                      
                        REP",300 LV,39,39
CA,47,Aug. 23-29,"Ayres
                      
                        REP",400 LV,45,43
CO,1,Oct. 17-19,"ccAdvertising
                      
                        REP",698 LV,43.8,36.4
CO,2,Sept. 20,"Magellan
                      
                        REP",688 LV,48,36
CO,3,Oct. 19-21,Penn Schoen Berland,400 LV,43,47
CO,3,Aug. 23-28,"Ayres
                      
                        REP",400 LV,43,51
CO,3,Aug. 17,"Magellan
                      
                        REP",973 LV,43,49
CO,3,"Dec. 8-9, 2009","Tarrance
                      
                        REP",300 LV,46,44
CO,4,Sept. 25-27,Penn Schoen Berland,391 LV,41,44
CO,4,Sept. 6-7,"Bennett Petts Blumenthal
                      
                        DEM",400 LV,38,38
CO,4,Aug. 23-28,"Ayres
                      
                        REP",400 LV,39,50
CO,7,Aug. 26,"Magellan
                      
                        REP",830 LV,39,40
CT,1,Oct. 24-26,Merriman River Group,423 LV,56,38
CT,1,Oct. 3-5,Merriman River Group,515 LV,52,45
CT,2,Oct. 24-26,Merriman River Group,388 LV,57,38
CT,2,Oct. 3-5,Merriman River Group,513 LV,55,41
CT,3,Oct. 24-26,Merriman River Group,397 LV,56,37
CT,3,Oct. 3-5,Merriman River Group,545 LV,58,37
CT,4,Oct. 24-26,Merriman River Group,571 LV,46,48
CT,4,Oct. 17-18,"National Research
                      
                        REP",300 LV,42,46
CT,4,Oct. 3-5,Merriman River Group,411 LV,49,47
CT,4,Sept. 27-28,"National Research
                      
                        REP",300 LV,42,42
CT,4,Aug. 17-18,"National Research
                      
                        REP",300 LV,42,38
CT,4,July 28-Aug. 1,"Ayres
                      
                        REP",400 LV,46,42
CT,5,Oct. 28-31,Merriman River Group,911 LV,44,52
CT,5,Oct. 24-26,Merriman River Group,595 LV,46,47
CT,5,Oct. 4-6,"Gotham Research Group
                      
                        DEM",424 LV,48,34
CT,5,Oct. 3-5,Merriman River Group,481 LV,44,50
CT,5,Sept. 19-21,"Gotham Research Group
                      
                        DEM",568 RV,50,37
CT,5,Aug. 30-31,"National Research
                      
                        REP",400 LV,40,39
DE,1,Oct. 25-27,Monmouth U.,"1,179 LV",51,44
DE,1,Oct. 20-26,Fairleigh Dickinson,797 LV,53,36
DE,1,Oct. 8-11,Monmouth U.,790 LV,53,44
DE,1,Sept. 27-Oct. 3,Fairleigh Dickinson,801 LV,51,36
DE,1,Sept. 16-30,U. of Delaware,729 RV,48,31
DE,1,Sept. 27-28,"Wilson
                      
                        REP",300 LV,45,41
DE,1,Sept. 15-18,"Grove
                      
                        DEM",400 LV,50,42
DE,1,Sept. 11-12,PPP,958 LV,48,37
DE,1,Aug. 7-8,PPP,620 RV,48,30
FL,2,Oct. 16-19,Penn Schoen Berland,399 LV,38,50
FL,2,Oct. 14-17,Susquehanna,830 LV,38,50
FL,2,Sept. 29-30,"National Research
                      
                        REP",300 LV,30,46
FL,2,April 12-13,"Tarrance
                      
                        REP",300 LV,37,52
FL,3,Sept. 24,"Pulse Opinion Research
                      
                        REP",500 LV,49,42
FL,3,Aug. 31,"IfByPhone Polling Inc.
                      
                        REP",579 RV,53.4,44.7
FL,8,Oct. 22-25,Susquehanna,801 LV,41,48
FL,8,Sept. 25-27,Susquehanna,559 LV,36,43
FL,8,Aug. 23-25,"PPP
                      
                        DEM","1,589 RV",40,27
FL,10,April 5-8,"Anzalone
                      
                        DEM",406 LV,34,39
FL,12,July 26-28,"GQR / Democracy Corps
                      
                        DEM",400 LV,35,32
FL,22,Oct. 17-19,Susquehanna,800 LV,44,47
FL,22,Sept. 20-22,"Wilson
                      
                        REP",300 LV,42,48
FL,22,Sept. 20-22,"Harstad
                      
                        DEM",504 LV,48,43
FL,22,Sept. 14-16,"Anzalone
                      
                        DEM",500 LV,48,40
FL,22,April 18-19,"Wilson
                      
                        REP",400 LV,42,44
FL,24,Sept. 22-23,"Hamilton Beattie
                      
                        DEM",400 LV,45,43
FL,24,Sept. 22-23,"McLaughlin
                      
                        REP",400 LV,39,49
FL,24,Aug. 31-Sept. 1,"Public Opinion Strategies
                      
                        REP",400 LV,37,49
FL,25,Oct. 25-26,Susquehanna,700 LV,43,44
FL,25,Sept. 12-19,"GQR / Democracy Corps
                      
                        DEM",404 LV,40,33
FL,25,Aug. 26-29,"Benenson
                      
                        DEM",400 LV,40,36
GA,2,Oct. 28,Landmark Communications,914 LV,46,50
GA,2,Oct. 19,Landmark Communications,836 LV,45,47
GA,2,Oct. 7-10,"Ron Lester & Associates
                      
                        DEM",500 LV,50,40
GA,2,Sept. 27-28,"Public Opinion Strategies
                      
                        REP",400 LV,47,46
GA,2,Aug. 2-3,"Public Opinion Strategies
                      
                        REP",400 LV,50,44
GA,7,Oct. 25,Landmark Communications,"1,070 LV",30,60
GA,8,Oct. 26,Landmark Communications,"1,133 LV",39.1,52.5
GA,8,Oct. 19-21,Penn Schoen Berland,400 LV,37,50
GA,8,Oct. 19,Landmark Communications,763 LV,35,51
GA,8,Oct. 17-19,"Mellman
                      
                        DEM",400 LV,47,44
GA,8,Sept. 26-27,"American Viewpoint
                      
                        REP",300 LV,38,46
GA,8,Sept. 13-15,"Grove
                      
                        DEM",400 LV,48,36
GA,8,July 27-29,"American Viewpoint
                      
                        REP",300 LV,44,39
HI,1,Oct. 23,Merriman River Group,620 LV,50,45
HI,1,Oct. 12-19,Honolulu Advertiser,399 LV,45,48
HI,1,Oct. 2-7,Penn Schoen Berland,406 LV,41,45
