"year","name","DEM_VOTES_2016","REP_VOTES_2016","TOTAL_VOTES_2016","DEM_PRCT_2016","REP_PRCT_2016","LEAN_2016","DEM_VOTES_2020","REP_VOTES_2020","TOTAL_VOTES_2020","DEM_PRCT_2020","REP_PRCT_2020","LEAN_2020"
2008,"AL-01",103896,194251,298147,34.85,65.15,32.52,117680,212973,330653,35.59,64.41,33.36
2008,"AL-02",96889,181170,278059,34.84,65.16,32.54,109133,191935,301068,36.25,63.75,32.04
2008,"AL-03",111208,166720,277928,40.01,59.99,22.2,125089,185738,310827,40.24,59.76,24.06
2008,"AL-04",41342,233690,275032,15.03,84.97,72.16,46179,258022,304201,15.18,84.82,74.18
2008,"AL-05",104581,206542,311123,33.61,66.39,35,137734,235942,373676,36.86,63.14,30.82
2008,"AL-06",96349,262483,358832,26.85,73.15,48.52,130327,281884,412211,31.62,68.38,41.3
2008,"AL-07",175343,73773,249116,70.39,29.61,-38.56,183481,74676,258157,71.07,28.93,-37.6
2010,"AL-01",103896,194251,298147,34.85,65.15,32.52,117680,212973,330653,35.59,64.41,33.36
2010,"AL-02",96889,181170,278059,34.84,65.16,32.54,109133,191935,301068,36.25,63.75,32.04
2010,"AL-03",111208,166720,277928,40.01,59.99,22.2,125089,185738,310827,40.24,59.76,24.06
2010,"AL-04",41342,233690,275032,15.03,84.97,72.16,46179,258022,304201,15.18,84.82,74.18
2010,"AL-05",104581,206542,311123,33.61,66.39,35,137734,235942,373676,36.86,63.14,30.82
2010,"AL-06",96349,262483,358832,26.85,73.15,48.52,130327,281884,412211,31.62,68.38,41.3
2010,"AL-07",175343,73773,249116,70.39,29.61,-38.56,183481,74676,258157,71.07,28.93,-37.6
2012,"AL-01",103130,192414,295544,34.89,65.11,32.44,116897,211122,328019,35.64,64.36,33.26
2012,"AL-02",96285,185824,282109,34.13,65.87,33.96,109614,196481,306095,35.81,64.19,32.92
2012,"AL-03",93312,188328,281640,33.13,66.87,35.96,108762,211614,320376,33.95,66.05,36.64
2012,"AL-04",50774,234353,285127,17.81,82.19,66.6,56781,260687,317468,17.89,82.11,68.76
2012,"AL-05",97148,200493,297641,32.64,67.36,36.94,129793,228296,358089,36.25,63.75,32.04
2012,"AL-06",88532,234087,322619,27.44,72.56,47.34,119055,248483,367538,32.39,67.61,39.76
2012,"AL-07",200428,83131,283559,70.68,29.32,-39.14,208722,84487,293209,71.19,28.81,-37.84
2014,"AL-01",103130,192414,295544,34.89,65.11,32.44,116897,211122,328019,35.64,64.36,33.26
2014,"AL-02",96272,185822,282094,34.13,65.87,33.96,109600,196479,306079,35.81,64.19,32.92
2014,"AL-03",93312,188328,281640,33.13,66.87,35.96,108762,211614,320376,33.95,66.05,36.64
2014,"AL-04",50774,234353,285127,17.81,82.19,66.6,56781,260687,317468,17.89,82.11,68.76
2014,"AL-05",97148,200493,297641,32.64,67.36,36.94,129793,228296,358089,36.25,63.75,32.04
2014,"AL-06",88532,234087,322619,27.44,72.56,47.34,119055,248483,367538,32.39,67.61,39.76
2014,"AL-07",200441,83132,283573,70.68,29.32,-39.14,208736,84489,293225,71.19,28.81,-37.84
2016,"AL-01",103130,192414,295544,34.89,65.11,32.44,116897,211122,328019,35.64,64.36,33.26
2016,"AL-02",96272,185822,282094,34.13,65.87,33.96,109600,196479,306079,35.81,64.19,32.92
2016,"AL-03",93312,188328,281640,33.13,66.87,35.96,108762,211614,320376,33.95,66.05,36.64
2016,"AL-04",50774,234353,285127,17.81,82.19,66.6,56781,260687,317468,17.89,82.11,68.76
2016,"AL-05",97148,200493,297641,32.64,67.36,36.94,129793,228296,358089,36.25,63.75,32.04
2016,"AL-06",88532,234087,322619,27.44,72.56,47.34,119055,248483,367538,32.39,67.61,39.76
2016,"AL-07",200441,83132,283573,70.68,29.32,-39.14,208736,84489,293225,71.19,28.81,-37.84
2018,"AL-01",103130,192414,295544,34.89,65.11,32.44,116897,211122,328019,35.64,64.36,33.26
2018,"AL-02",96264,185808,282072,34.13,65.87,33.96,109589,196467,306056,35.81,64.19,32.92
2018,"AL-03",93307,188299,281606,33.13,66.87,35.96,108753,211580,320333,33.95,66.05,36.64
2018,"AL-04",50774,234353,285127,17.81,82.19,66.6,56781,260687,317468,17.89,82.11,68.76
2018,"AL-05",97148,200493,297641,32.64,67.36,36.94,129793,228296,358089,36.25,63.75,32.04
2018,"AL-06",88545,234131,322676,27.44,72.56,47.34,119076,248530,367606,32.39,67.61,39.76
2018,"AL-07",200441,83131,283572,70.68,29.32,-39.14,208735,84488,293223,71.19,28.81,-37.84
2020,"AL-01",103130,192414,295544,34.89,65.11,32.44,116897,211122,328019,35.64,64.36,33.26
2020,"AL-02",96247,185771,282018,34.13,65.87,33.96,109570,196432,306002,35.81,64.19,32.92
2020,"AL-03",93324,188336,281660,33.13,66.87,35.96,108772,211615,320387,33.95,66.05,36.64
2020,"AL-04",50773,234345,285118,17.81,82.19,66.6,56781,260678,317459,17.89,82.11,68.76
2020,"AL-05",97148,200493,297641,32.64,67.36,36.94,129793,228296,358089,36.25,63.75,32.04
2020,"AL-06",88524,234147,322671,27.43,72.57,47.36,119062,248548,367610,32.39,67.61,39.76
2020,"AL-07",200463,83123,283586,70.69,29.31,-39.16,208749,84479,293228,71.19,28.81,-37.84
2022,"AL-01",101869,189567,291436,34.95,65.05,32.32,115595,208153,323748,35.71,64.29,33.12
2022,"AL-02",96571,193921,290492,33.24,66.76,35.74,111145,205384,316529,35.11,64.89,34.32
2022,"AL-03",88863,187588,276451,32.14,67.86,37.94,102761,210774,313535,32.77,67.23,39
2022,"AL-04",53801,235524,289325,18.6,81.4,65.02,60776,262451,323227,18.8,81.2,66.94
2022,"AL-05",91741,189957,281698,32.57,67.43,37.08,123065,216646,339711,36.23,63.77,32.08
2022,"AL-06",91580,215075,306655,29.86,70.14,42.5,121821,228604,350425,34.76,65.24,35.02
2022,"AL-07",205182,106997,312179,65.73,34.27,-29.24,214461,109157,323618,66.27,33.73,-28
2008,"AK-01",116454,163387,279841,41.61,58.39,19,153778,189951,343729,44.74,55.26,15.06
2010,"AK-01",116454,163387,279841,41.61,58.39,19,153778,189951,343729,44.74,55.26,15.06
2012,"AK-01",116454,163387,279841,41.61,58.39,19,153778,189951,343729,44.74,55.26,15.06
2014,"AK-01",116454,163387,279841,41.61,58.39,19,153778,189951,343729,44.74,55.26,15.06
2016,"AK-01",116454,163387,279841,41.61,58.39,19,153778,189951,343729,44.74,55.26,15.06
2018,"AK-01",116440,163379,279819,41.61,58.39,19,153760,189939,343699,44.74,55.26,15.06
2020,"AK-01",116440,163379,279819,41.61,58.39,19,153760,189939,343699,44.74,55.26,15.06
2022,"AK-01",116440,163379,279819,41.61,58.39,19,153760,189939,343699,44.74,55.26,15.06
2008,"AZ-01",128068,169131,297199,43.09,56.91,16.04,176302,223097,399399,44.14,55.86,16.26
2008,"AZ-02",151662,254864,406526,37.31,62.69,27.6,231651,347283,578934,40.01,59.99,24.52
2008,"AZ-03",136543,157381,293924,46.46,53.54,9.3,196121,198254,394375,49.73,50.27,5.08000000000001
2008,"AZ-04",119053,36267,155320,76.65,23.35,-51.08,167984,54438,222422,75.52,24.48,-46.5
2008,"AZ-05",149907,138992,288899,51.89,48.11,-1.56,214117,174558,388675,55.09,44.91,-5.63999999999999
2008,"AZ-06",155731,238267,393998,39.53,60.47,23.16,250029,331800,581829,42.97,57.03,18.6
2008,"AZ-07",149888,85261,235149,63.74,36.26,-25.26,201547,122728,324275,62.15,37.85,-19.76
2008,"AZ-08",170280,172201,342481,49.72,50.28,2.78,234359,209494,443853,52.8,47.2,-1.06
2010,"AZ-01",128068,169131,297199,43.09,56.91,16.04,176302,223097,399399,44.14,55.86,16.26
2010,"AZ-02",151662,254864,406526,37.31,62.69,27.6,231651,347283,578934,40.01,59.99,24.52
2010,"AZ-03",136543,157381,293924,46.46,53.54,9.3,196121,198254,394375,49.73,50.27,5.08000000000001
2010,"AZ-04",119053,36267,155320,76.65,23.35,-51.08,167984,54438,222422,75.52,24.48,-46.5
