GOP_expected_seat,DEM_expected_seat,GOP_expected_seat_10,GOP_expected_seat_90,DEM_expected_seat_10,DEM_expected_seat_90,GOP_expected_seat_SD,DEM_expected_seat_SD,date
226,209,209,242,193,226,13,13,2022-10-13
227,208,209,242,193,226,13,13,2022-10-14
227,208,209,242,193,226,13,13,2022-10-15
227,208,209,243,192,226,13,13,2022-10-16
227,208,210,243,192,225,13,13,2022-10-17
228,207,210,243,192,225,13,13,2022-10-18
229,206,211,245,190,224,13,13,2022-10-19
229,206,211,245,190,224,13,13,2022-10-20
229,206,211,245,190,224,13,13,2022-10-21
229,206,211,245,190,224,13,13,2022-10-22
229,206,211,245,190,224,13,13,2022-10-23
228,207,211,245,190,224,13,13,2022-10-24
228,207,210,243,192,225,13,13,2022-10-25
