cycle,DEM_GB_EST,GOP_GB_EST,DEM_GB_SD,GOP_GB_SD,date
2022,45.01,47.28,3.1,2.82,2022-10-13
2022,44.8,47.38,3.02,2.76,2022-10-14
2022,44.83,47.37,2.99,2.73,2022-10-15
2022,44.61,46.83,3.01,3.23,2022-10-16
2022,44.46,47,3.01,3.41,2022-10-17
2022,44.64,48.28,2.84,3.75,2022-10-18
2022,44.27,48.13,3.03,3.67,2022-10-19
2022,44.24,48.09,2.89,3.57,2022-10-20
2022,44.24,48.09,2.89,3.57,2022-10-21
2022,44.24,48.09,2.89,3.57,2022-10-22
2022,44.24,48.09,2.89,3.57,2022-10-23
2022,44.26,47.89,2.9,3.67,2022-10-24
2022,44.67,47.83,2.9,3.43,2022-10-25
