"District","DEM","DEM_PRCT","GOP","GOP_PRCT"
"AK-01","Mary Peltola (I)",72,"Sarah Palin",28
"AL-01","",0,"Jerry Carl (I)",100
"AL-02","Phyllis Harvey-Hall",0,"Barry Moore (I)",100
"AL-03","Lin Veasey",0,"Mike Rogers (I)",100
"AL-04","Rick Neighbors",0,"Robert Aderholt (I)",100
"AL-05","Kathy Warner-Stanton",0,"Dale Strong",100
"AL-06","",0,"Gary Palmer (I)",100
"AL-07","Terri Sewell (I)",99,"Beatrice Nichols",1
"AR-01","Monte Hodges",0,"Rick Crawford (I)",100
"AR-02","Quintessa Hathaway",1,"French Hill (I)",99
"AR-03","Lauren Mallett-Hays",0,"Steve Womack (I)",100
"AR-04","John White",0,"Bruce Westerman (I)",100
"AZ-01","Jevin Hodge",59,"David Schweikert (I)",41
"AZ-02","Tom O'Halleran (I)",34,"Eli Crane",66
"AZ-03","Ruben Gallego (I)",99,"Jeffrey Zink",1
"AZ-04","Greg Stanton (I)",90,"Kelly Cooper",10
"AZ-05","Javier Garcia Ramos",0,"Andy Biggs (I)",100
"AZ-06","Kirsten Engel",31,"Juan Ciscomani",69
"AZ-07","Raul Grijalva (I)",99,"Luis Pozzolo",1
"AZ-08","",0,"Debbie Lesko (I)",100
"AZ-09","",0,"Paul Gosar (I)",100
"CA-01","Max Steiner",21,"Doug LaMalfa (I)",79
"CA-02","Jared Huffman (I)",98,"Douglas Brower",2
"CA-03","Kermit Jones",20,"Kevin Kiley",80
"CA-04","Mike Thompson (I)",98,"Matt Brock",2
"CA-05","Mike Barkley",0,"Tom McClintock (I)",100
"CA-06","Ami Bera (I)",94,"Tamika Hamilton",6
"CA-07","Doris Matsui (I)",100,"Max Semenenko",0
"CA-08","John Garamendi (I)",100,"Rudy Recile",0
"CA-09","Josh Harder (I)",94,"Tom Patti",6
"CA-10","Mark DeSaulnier (I)",100,"",0
"CA-11","Nancy Pelosi (I)",100,"John Dennis",0
"CA-12","Barbara Lee (I)",99,"Stephen Slauson",1
"CA-13","Adam Gray",72,"John Duarte",28
"CA-14","Eric Swalwell (I)",98,"Alison Hayden",2
"CA-15","A DEMOCRAT",100,"",0
"CA-16","A DEMOCRAT (I)",100,"",0
"CA-17","Ro Khanna (I)",99,"Ritesh Tandon",1
"CA-18","Zoe Lofgren (I)",96,"Peter Hernandez",4
"CA-19","Jimmy Panetta (I)",99,"Jeffrey Gorman",1
"CA-20","Marisa Wood",8,"Kevin McCarthy (I)",92
"CA-21","Jim Costa (I)",90,"Michael Maher",10
"CA-22","Rudy Salas",45,"David Valadao (I)",55
"CA-23","Derek Marshall",26,"Jay Obernolte (I)",74
"CA-24","Salud Carbajal (I)",99,"Brad Allen",1
"CA-25","Raul Ruiz (I)",98,"Brian Hawkins",2
"CA-26","Julia Brownley (I)",89,"Matt Jacobs",11
"CA-27","Christy Smith",40,"Mike Garcia (I)",60
"CA-28","Judy Chu (I)",99,"Wes Hallman",1
"CA-29","A DEMOCRAT (I)",100,"",0
"CA-30","A DEMOCRAT (I)",100,"",0
"CA-31","Grace Napolitano (I)",97,"Daniel Bocic Martinez",3
